run,breeding,selection,generations,mutate_rate,gp_size,score
1,1point,elitism,200,0.2,10000,6877.640449438202
2,1point,elitism,200,0.2,10000,6741.0
3,1point,elitism,200,0.2,10000,6819.640449438202
4,1point,elitism,200,0.2,10000,6745.640449438202
5,1point,elitism,200,0.2,10000,6834.2808988764045
6,1point,elitism,200,0.2,10000,6673.0
7,1point,elitism,200,0.2,10000,6736.640449438202
8,1point,elitism,200,0.2,10000,6752.640449438202
9,1point,elitism,200,0.2,10000,6759.0
10,1point,elitism,200,0.2,10000,6737.640449438202
11,1point,elitism,200,0.2,10000,6740.2808988764045
12,1point,elitism,200,0.2,10000,6881.640449438202
13,1point,elitism,200,0.2,10000,6679.2808988764045
14,1point,elitism,200,0.2,10000,6841.640449438202
1,1point,elitism,200,0.4,10000,6829.0
2,1point,elitism,200,0.4,10000,6700.0
3,1point,elitism,200,0.4,10000,6855.640449438202
4,1point,elitism,200,0.4,10000,6605.640449438202
5,1point,elitism,200,0.4,10000,6666.0
6,1point,elitism,200,0.4,10000,6778.640449438202
7,1point,elitism,200,0.4,10000,6800.0
8,1point,elitism,200,0.4,10000,6826.0
9,1point,elitism,200,0.4,10000,6884.921348314607
10,1point,elitism,200,0.4,10000,6841.640449438202
11,1point,elitism,200,0.4,10000,6879.0
12,1point,elitism,200,0.4,10000,6776.640449438202
13,1point,elitism,200,0.4,10000,6665.0
1,1point,elitism,200,0.6,10000,6505.2808988764045
2,1point,elitism,200,0.6,10000,6507.0
3,1point,elitism,200,0.6,10000,6673.0
4,1point,elitism,200,0.6,10000,6659.2808988764045
5,1point,elitism,200,0.6,10000,6714.640449438202
6,1point,elitism,200,0.6,10000,6646.640449438202
7,1point,elitism,200,0.6,10000,6791.640449438202
8,1point,elitism,200,0.6,10000,6707.0
9,1point,elitism,200,0.6,10000,6549.0
10,1point,elitism,200,0.6,10000,6642.0
11,1point,elitism,200,0.6,10000,6488.640449438202
12,1point,elitism,200,0.6,10000,6879.0
13,1point,elitism,200,0.6,10000,6561.0
